disease,description,symptoms
"Overview
    
 - 
      Acne","Acne is a common skin condition that affects most people at some point. It causes spots, oily skin and sometimes skin that's hot or painful to touch.
Acne most commonly develops on the:","Acne most commonly develops on the:
- face – this affects almost everyone with acne
- back – this affects more than half of people with acne
- chest – this affects about 15% of people with acne"
Acoustic neuroma (vestibular schwannoma),"An acoustic neuroma is a type of non-cancerous (benign) brain tumour. It's also known as a vestibular schwannoma.
Abenign brain tumouris a growth in the brain that usually grows slowly over many years and does not spread to other parts of the body.","An acoustic neuroma may not cause any obvious symptoms at first.
Any symptoms tend to develop gradually and often include:
- hearing lossthat usually only affects 1 ear
- hearing sounds that come from inside the body (tinnitus)
- the sensation that you're moving or spinning (vertigo)
A large acoustic neuroma can also sometimes cause:
- persistentheadaches
- temporary blurred ordouble vision
- numbness, pain or weakness on 1 side of the face
- problems with limb co-ordination (ataxia) on 1 side of the body
- voice changes ordifficulty swallowing (dysphagia)"
Acromegaly,"Acromegaly is a rare condition where the body makes too much of a hormone that can make parts of your body grow bigger. It can be successfully treated.
Symptoms of acromegaly can develop slowly. They may include:","Symptoms of acromegaly can develop slowly. They may include:
- swollen hands and feet
- tiredness or difficulty sleeping
- sleep apnoea
- sweating
- numbness and weakness in your hands
- abnormal height growth in children and teenagers (gigantism)
- body growth – feet, fingers, head, tongue and neck may increase in size
- headaches
- joint pain
- thicker, more oily skin
- a deeper voice
- irregular periods
- erection problems
You usually get acromegaly between the ages of 30 and 50 years old, but you can get symptoms at any age."
Actinic keratoses (solar keratoses),"Actinic keratoses (also called solar keratoses) are dry, scaly patches of skin that have been damaged by the sun. It'snot usually serious, but there's a small chance the patches could become skin cancer. Protecting your skin in the sun and watching out for changes can help.
NAS Medical / Alamy Stock Photo https://www.alamy.com/actinic-keratosis-image5482877.html?pv=1&stamp=2&imageid=C1E0902D-A072-4B99-A3C8-1A04254462D4&p=19807&n=0&orientation=0&pn=1&searchtype=0&IsFromSearch=1&srch=foo%3dbar%26st%3d0%26pn%3d1%26ps%3d100%26sortby%3d2%26resultview%3dsortbyPopular%26npgs%3d0%26qt%3dAXBN7E%26qt_raw%3dAXBN7E%26lic%3d3%26mr%3d0%26pr%3d0%26ot%3d0%26creative%3d%26ag%3d0%26hc%3d0%26pc%3d%26blackwhite%3d%26cutout%3d%26tbar%3d1%26et%3d0x000000000000000000000%26vp%3d0%26loc%3d0%26imgt%3d0%26dtfr%3d%26dtto%3d%26size%3d0xFF%26archive%3d1%26groupid%3d%26pseudoid%3d195878%26a%3d%26cdid%3d%26cdsrt%3d%26name%3d%26qn%3d%26apalib%3d%26apalic%3d%26lightbox%3d%26gname%3d%26gtype%3d%26xstx%3d0%26simid%3d%26saveQry%3d%26editorial%3d1%26nu%3d%26t%3d%26edoptin%3d%26customgeoip%3d%26cap%3d1%26cbstore%3d1%26vd%3d0%26lb%3d%26fi%3d2%26edrf%3d0%26ispremium%3d1%26flip%3d0%26pl%3d",N/A
Actinomycosis,"Actinomycosis is a rare type of bacterial infection. It can be very serious but can usually be treated with antibiotics.
The bacteria that cause actinomycosis normally live harmlessly in the body. They only cause an infection if they get into the lining of areas such as the mouth or gut.",Symptoms of actinomycosis depend on what part of the body is affected.
Acupuncture,"Acupuncture is a treatment derived from ancient Chinese medicine. Fine needles are inserted at certain sites in the body for therapeutic or preventative purposes.
It is used in many NHS GP practices, as well as in most pain clinics and hospices in the UK.","- joint and muscle pain
- jaw pain
- cancer symptoms such as pain
- side effects of cancer treatment such as feeling or being sick from chemotherapy
- feeling sick or being sick after surgery"
Acute cholecystitis,"Acute cholecystitis is inflammation of the gallbladder. It usually happens when a gallstone blocks the cystic duct.
Gallstonesare small stones, usually made of cholesterol, that form in the gallbladder. The cystic duct is the main opening of the gallbladder.","The main symptom of acute cholecystitis is a sudden, sharp pain in the upper right-hand side of your tummy (abdomen). This pain spreads towards your right shoulder.
The affected part of the tummy is usually very tender, and breathing deeply can make the pain worse.
Unlike other types ofabdominal pain, the pain of acute cholecystitis is usually persistent and does not go away within a few hours.
Some people may have additional symptoms, such as:
- a high temperature
- feeling sick
- being sick
- sweating
- loss of appetite
- yellowing of the skin and the whites of the eyes(jaundice)
- a bulge in the tummy"
Acute kidney injury,"Acute kidney injury (AKI) is where your kidneys suddenly stop working properly. It can range from minor loss of kidney function to complete kidney failure.
AKI normally happens as a complication of another serious illness. It's not the result of a physical blow to the kidneys, as the name might suggest.","Symptoms of AKI include:
- feeling sick or being sick
- diarrhoea
- dehydration
- peeing less than usual
- confusion
- drowsiness
Even if it does not progress to complete kidney failure, AKI needs to be taken seriously.
It has an effect on the whole body, changes how some medicines are handled by the body, and could make some existing illnesses more serious.
AKI is different fromchronic kidney disease, where the kidneys gradually lose function over a long period of time."
Acute lymphoblastic leukaemia,Acute lymphoblastic leukaemia (ALL) is a rare type of cancer that affects the blood and bone marrow.,"Symptoms of acute lymphoblastic leukaemia (ALL) are not always obvious at first and can be similar to other conditions.
They usually appear quite quickly over a few weeks.
The main symptoms include:
- feeling tired or weak
- bleeding or bruising easily or for no reason
- looking more pale than usual
- getting ill a lot or taking longer than usual to recover from illnesses
- a high temperature
- swollen glands (usually in the neck, armpits and groin)
- pain in the bones or joints
- loss of appetite or losing weight without trying
- shortness of breath
- a swollen tummy – your tummy may feel painful, uncomfortable or full
Less common symptoms include:
- a headache
- being sick
- blurred vision
- fits (seizures)
- a cough
- a swollen and red face, neck, arms or hands – the redness may be harder to see on brown and black skin
- swollen veins in the neck or chest"
"Overview
    
 - 
      Acute myeloid leukaemia","Leukaemia is cancer of the white blood cells. Acute leukaemia means it progresses quickly and aggressively, and usually requires immediate treatment.
Acute leukaemia is classified according to the type of white blood cells affected.","Thesymptoms of AMLusually develop over a few weeks and become worse over time.
Symptoms can include:
- looking pale or ""washed out""
- feeling tired or weak
- breathlessness
- frequent infections
- unusual and frequent bruising or bleeding, such as bleeding gums ornosebleeds
- losing weight without trying to"
"Overview
    
 - 
      Acute pancreatitis","Acute pancreatitis is a condition where the pancreas becomes inflamed (swollen) over a short period of time.
The pancreas is a small organ, located behind the stomach, that helps with digestion.","The most common symptoms of acute pancreatitis include:
- suddenly getting severe pain in the centre of your tummy (abdomen)
- feeling or being sick
- a high temperature of 38C or more (fever)
Read more about thesymptoms of acute pancreatitisanddiagnosing acute pancreatitis."
Acute respiratory distress syndrome (ARDS),"Acute respiratory distress syndrome (ARDS) is a life-threatening illness that can happen when your lungs are not working properly. ARDS is usually a complication of other serious conditions and is treated in hospital.
Acute respiratory distress syndrome (ARDS) usually affects people who are already unwell.","Symptoms of acute respiratory distress syndrome (ARDS) include:
- shortness of breath
- taking short, fast breaths"
"Overview
    
 - 
      Addison's disease","Addison's disease, also known as primary adrenal insufficiency or hypoadrenalism, is a rare disorder of the adrenal glands.
The adrenal glands are 2 small glands that sit on top of the kidneys. They produce 2 essential hormones: cortisol and aldosterone.","Early-stage symptoms of Addison's disease are similar to other more common health conditions, such asclinical depressionorflu.
You may experience:
- lack of energy or motivation (fatigue)
- muscle weakness
- low mood
- loss of appetite and unintentional weight loss
- increased thirst
Over time, these problems may become more severe and you may experience further symptoms, such as dizziness,fainting, cramps and exhaustion.
You may also develop small areas of darkened skin, or darkened lips or gums.
Although these symptoms are not always caused by Addison's disease, you should see a GP so they can be investigated."
Adenoidectomy,"An adenoidectomy is an operation to remove enlarged adenoids.
Adenoids are small lumps of tissue at the back of the throat behind the nose. They're part of the immune system and help fight infection.",N/A
Adenomyosis,"Adenomyosis is a condition where the lining of the womb (uterus) starts growing into the muscle in the wall of the womb. There are treatments that can help with any symptoms.
Adenomyosis is more commonly diagnosed in women over the age of 30. It can affect anyone who has periods.","Some symptoms of adenomyosis affect your periods, such as:
- painful periods
- heavy bleeding during your period
Other symptoms can happen any time in your menstrual cycle, such as:
- pelvic pain (pain in the lower part of your tummy)
- bloating, heaviness or fullness in your tummy (abdomen)
- pain during sex
Some people with adenomyosis have no symptoms."
ADHD in adults,"ADHD (attention deficit hyperactivity disorder) is a condition where the brain works differently to most people. If you have ADHD, you may have trouble with things like concentrating and sitting still. There are things you can do to help manage your symptoms.
There is separate information aboutADHD in children and young people.","Symptoms of ADHD involve your ability to pay attention to things (being inattentive), having high energy levels (being hyperactive) and your ability to control your impulses (being impulsive).
You may show signs of being inattentive, such as:
- being easily distracted or forgetful
- finding it hard to organise your time
- finding it hard to follow instructions or finish tasks
- losing things often, like your wallet, mobile or keys
You may show signs of being hyperactive and impulsive, including:
- having a lot of energy or feeling restless
- being very talkative or interrupting conversations
- making quick decisions without thinking about what might happen as a result
Most people with ADHD will have symptoms of both the inattentive and hyperactive-impulsive type. Some only show signs of one type.
These symptoms usually start before the age of 12.
ADHD is thought to be recognised less often in women than men. This may be because women with ADHD more commonly have inattentive symptoms and these can be harder to recognise than hyperactive symptoms."
ADHD in children and young people,"ADHD (attention deficit hyperactivity disorder) is a condition where the brain works differently to most people. Children and young people with ADHD may have trouble with things like concentrating and sitting still. There are ways to help manage the symptoms of ADHD.
There is separate information aboutADHD in adults.","Symptoms of ADHD usually start before the age of 12. They involve a person’s ability to pay attention to things (being inattentive), having high energy levels (being hyperactive) and their ability to control their impulses (being impulsive).
A child or young person may show signs of being inattentive, such as:
- being easily distracted
- finding it hard to listen to what people are saying or to follow instructions
- forgetting everyday tasks, like brushing their teeth or putting on socks
They may show signs of being hyperactive and impulsive, including:
- having high energy levels
- fidgeting or tapping their hands and feet
- talking noisily
- feeling restless, or getting up and moving around when they’re supposed to sit still
- finding it hard to wait their turn, or interrupting conversations
Most children and young people with ADHD have symptoms of both the inattentive and hyperactive-impulsive type. Some only show signs of one type.
ADHD is thought to be recognised less often in girls than boys. This may be because girls with ADHD more commonly have inattentive symptoms and these can be harder to recognise."
"What is AMD?
    
 - 
      Age-related macular degeneration (AMD)",Page last reviewed: 22 January 2025Next review due: 22 January 2028,"Age-related macular degeneration (AMD) affects the middle part of your vision, not the edges (peripheral vision).
You can get it in 1 eye or both.
AMD can make things like reading, watching TV, driving or recognising faces difficult.
Other symptoms include:
- seeing straight lines as wavy or crooked
- being sensitive to bright light
- seeing flickering or flashing lights
- seeing things that are not there (hallucinations)
AMD is not painful and does not affect the appearance of your eyes."
Albinism,"Albinism affects the production of melanin, the pigment that colours skin, hair and eyes. It's a lifelong condition, but it does not get worse over time.
People with albinism have a reduced amount of melanin, or no melanin at all. This can affect their colouring and their eyesight.",N/A
"Overview
    
 - 
      Alcohol misuse","Alcohol misuse is when you drink in a way that's harmful, or when you're dependent on alcohol. To keep health risks from alcohol to a low level, both men and women are advised not to regularly drink more than 14 units a week.
A unit of alcohol is 8g or 10ml of pure alcohol, which is about:","- hand tremors – ""the shakes""
- sweating
- seeing things that are not real (visualhallucinations)
- depression
- anxiety
- difficulty sleeping(insomnia)"
"Overview
    
 - 
      Alcohol-related liver disease","Alcohol-related liver disease (ARLD) refers to liver damage caused by excess alcohol intake. There are several stages of severity and a range of associated symptoms.
ARLD does not usually cause any symptoms until the liver has been severely damaged.","ARLD does not usually cause any symptoms until the liver has been severely damaged.
When this happens, symptoms can include:
- feeling sick
- weight loss
- loss of appetite
- yellowing of the whites of the eyes or skin (jaundice)
- swelling in the ankles and tummy
- confusion or drowsiness
- vomiting blood or passing blood in your stools
This means ARLD is frequently diagnosed during tests for other conditions, or at a stage of advanced liver damage.
If you regularly drink alcohol to excess, tell your GP so they can check if your liver is damaged."
Alexander technique,"The Alexander technique teaches improved posture and movement, which is believed to help reduce and prevent problems caused by unhelpful habits.
During a number of lessons you're taught to be more aware of your body, how to improve poor posture and move more efficiently.",N/A
Alkaptonuria,"Alkaptonuria, or black urine disease, is a very rare inherited disorder that prevents the body fully breaking down two protein building blocks (amino acids) called tyrosine and phenylalanine.
It results in a build-up of a chemical called homogentisic acid in the body.","Over the course of many years, homogentisic acid slowly builds up in tissues throughout the body.
It can build up in almost any area of the body, including the cartilage, tendons, bones, nails, ears and heart. It stains the tissues dark and causes a wide range of problems."
Allergic rhinitis,"Allergic rhinitis is where your nose gets irritated by something you're allergic to, such as pollen, causing sneezing and other symptoms. For most people it's easy to treat with medicines from a pharmacist.
Common symptoms of allergic rhinitis are similar to a cold and include:","- sneezing
- an itchy nose
- a runny or blocked nose
- itchy, red and watery eyes
- a cough
- the roof of your mouth being itchy"
Allergies,"An allergy is where your body reacts to something that's normally harmless like pollen, dust or animal fur. The symptoms can be mild, but for some people they can be very serious.
Things that cause allergic reactions are called allergens.","- a runny nose or sneezing
- pain or tenderness around your cheeks, eyes or forehead
- coughing, wheezing or breathlessness
- itchy skin or a raised rash (hives)
- diarrhoea
- feeling or being sick
- swollen eyes, lips, mouth or throat"
Altitude sickness,"Altitude sickness can happen when you're at a high altitude. It usually gets better in a few days with rest, but it can sometimes be life-threatening and need treatment.
You can get altitude sickness if you're in a place that is at a high altitude (usually more than 2,500 metres above sea level).","Symptoms of altitude sickness usually start 6 to 10 hours after being at a high altitude.
The main symptoms include:
- a headache
- loss of appetite
- feeling or being sick
- feeling tired or exhausted
- dizziness
- difficulty sleeping
Sometimes, the symptoms can develop into more serious symptoms that can be life-threatening."
"Overview
    
 - 
      Alzheimer's disease","Alzheimer's disease is the most common cause of dementia in the UK.
Dementiais the name for a group of symptoms associated with an ongoing decline of brain functioning. It can affect memory, thinking skills and other mental abilities.","Alzheimer's disease is a progressive condition, which means the symptoms develop gradually over many years and eventually become more severe. It affects multiple brain functions.
The first sign of Alzheimer's disease is usually minor memory problems.
For example, this could be forgetting about recent conversations or events, and forgetting the names of places and objects.
As the condition develops, memory problems become more severe and further symptoms can develop, such as:
- confusion, disorientation and getting lost in familiar places
- difficulty planning or making decisions
- problems with speech and language
- problems moving around without assistance or performing self-care tasks
- personality changes, such as becoming aggressive, demanding and suspicious of others
- hallucinations(seeing or hearing things that are not there) and delusions (believing things that are untrue)
- low mood or anxiety
Read more about thesymptoms of Alzheimer's disease."
Lazy eye,"A lazy eye (amblyopia) is when the vision in 1 eye does not develop properly. Rarely, both eyes can be affected.
A lazy eye does not always cause symptoms and is often first diagnosed during an eye test.","- shutting 1 eye or squinting when looking at things
- eyes pointing in different directions (asquint)
- not being able to follow an object or person with your eyes
- tilting your head when looking at something
- having tired eyes and rubbing your eyes a lot
- headaches
- difficulty catching or throwing
- tripping or falling over a lot
- blinking a lot"
Memory loss (amnesia),"Most people forget things from time to time, but see a GP if you keep having problems with your memory. It could be caused by something that can be treated.
It's often nothing serious, but it's best to get checked because any treatment you need may work better if it's started early.",N/A
"Overview
    
 - 
      Amniocentesis","Amniocentesis is a test you may be offered during pregnancy to check if your baby has a genetic or chromosomal condition, such as Down's syndrome, Edwards' syndrome or Patau's syndrome.
It involves removing and testing a small sample of cells from amniotic fluid, the fluid that surrounds the baby in the womb (uterus).",N/A
Amputation,"An amputation is the surgical removal of part of the body, such as an arm or leg.
This topic may be helpful if you, a friend, or a member of your family, recently had or are planning to have an amputation.",N/A
Amyloidosis,"Amyloidosis is a group of rare conditions where a protein called amyloid builds up in your body. It can affect organs such as your heart, kidneys, liver, nerves or digestive system. It cannot be cured, but there are treatments that may help with symptoms.
Common symptoms of amyloidosis include:","Common symptoms of amyloidosis include:
- feeling very tired or weak
- losing weight without trying to
- shortness of breath
- swollen feet or legs
- bruising around your eyes
Other symptoms depend on which parts of your body are affected, so you may not have all the symptoms. They can include:
- a fast or slow heartbeat or chest pain, if your heart is affected
- loss of appetite, feeling or being sick, diarrhoea or constipation, if your digestive system is affected
- frothy pee, if your kidneys are affected
- pain, numbness or tingling in your hands and feet, if your nerves are affected"
Anabolic steroid misuse,"Anabolic steroids are prescription-only medicines that are sometimes taken without medical advice to increase muscle mass and improve athletic performance.
If used in this way, they can cause serious side effects and addiction.","- depressionand apathy
- feelings of anxiety
- difficulty concentrating
- insomnia
- anorexia
- decreased sex drive
- extreme tiredness (fatigue)
- headaches
- muscle and joint pain"
Iron deficiency anaemia,"Iron deficiency anaemia is caused by lack of iron, often because of blood loss or pregnancy. It's treated with iron tablets and by eating iron-rich foods.
Symptoms of iron deficiency anaemia can include:","- tiredness and lack of energy
- shortness of breath
- noticeable heartbeats (heart palpitations)
- paler than usual skin
- headaches"
"Overview
    
 - 
      Vitamin B12 or folate deficiency anaemia","Vitamin B12 or B9 (commonly called folate) deficiency anaemia occurs when a lack of vitamin B12 or folate causes the body to produce abnormally large red blood cells that cannot function properly.
Red blood cells carry oxygen around the body using a substance called haemoglobin.","Vitamin B12 and folate perform several important functions in the body, including keeping the nervous system healthy.
A deficiency in either of these vitamins can cause a wide range of problems, including:
- extreme tiredness
- a lack of energy
- pins and needles
- a sore and red tongue
- mouth ulcers
- muscle weakness
- problems with your vision
- psychological problems, which can range from milddepressionor anxiety to confusion and dementia
- problems with memory, understanding and judgement
Some of these problems can also happen if you have a deficiency in vitamin B12 or folate but do not have anaemia."
"Overview
    
 - 
      Anal fissure","An anal fissure is a tear or open sore (ulcer) that develops in the lining of the large intestine, near the anus.
The most common symptoms of anal fissures are:","The most common symptoms of anal fissures are:
- a sharp pain when you poo, often followed by a deep burning pain that may last several hours
- bleeding when you poo – most people notice a small amount of bright red blood either in their poo or on the toilet paper"
"Overview
    
 - 
      Anal fistula","An anal fistula is a small tunnel that develops between the end of the bowel and the skin near the opening of the bottom (anus).
It’s usually caused by an infection near the anus, which results in a collection of pus (abscess) in the nearby tissue.","Symptoms of an anal fistula include:
- skin irritation around the anus
- a constant, throbbing pain that may be worse when you sit down, move around, poo or cough
- smelly discharge from near your anus
- passing pus or blood when you poo
- swelling and redness around your anus and a high temperature if you also have an abscess
- difficulty controlling bowel movements (bowel incontinence) in some cases
The end of the fistula might be visible as a hole in the skin near your anus, although this may be difficult for you to see yourself."
Anal pain,"Anal pain (pain in the bottom) is common. There are things you can do to ease it, but see a GP if you're in a lot of pain or it does not get better.
Anal pain has many different causes.",N/A
Anaphylaxis,"Anaphylaxis is a life-threatening allergicreaction that happens very quickly. It can be caused by food, medicine or insect stings. Call 999 if you think you or someone else is having an anaphylactic reaction.
Symptoms of anaphylaxis happen very quickly.","- swelling of your throat and tongue
- difficulty breathing or breathing very fast
- difficulty swallowing, tightness in your throat or a hoarse voice
- wheezing, coughing or noisy breathing
- feeling tired or confused
- feeling faint, dizzy or fainting
- skin that feels cold to the touch
- blue, grey or pale skin, lips or tongue – if you have brown or black skin, this may be easier to see on the palms of your hands or soles of your feet"
"Overview
    
 - 
      Androgen insensitivity syndrome","Androgen insensitivity syndrome (AIS) affects the development of a person's genitals and reproductive organs.
The 2 types of AIS are called complete androgen insensitivity syndrome (CAIS) and partial androgen insensitivity syndrome (PAIS).",N/A
"Overview
    
 - 
      Brain aneurysm","An aneurysm is a bulge in a blood vessel caused by a weakness in the blood vessel wall, usually where it branches.
As blood passes through the weakened blood vessel, the blood pressure causes a small area to bulge outwards like a balloon.","- a sudden agonising headache – it's been described as a ""thunderclap headache"", similar to a sudden hit on the head, resulting in a blinding pain unlike anything experienced before
- a stiff neck
- sickness and vomiting
- pain on looking at light"
Angelman syndrome,"Angelman syndrome is a rare genetic condition that affects the nervous system and causes severe physical and learning disabilities.
A person with Angelman syndrome will have a near-normal life expectancy, but they will need support throughout their life.",N/A
Angina,"Angina is a feeling of pain or tightness, usually in your chest. It can be a sign of a heart problem, so it's important to see a GP as soon as possible if you think you may have it.
The main symptom of angina is sudden pain in your chest, neck, shoulders, jaw or arms.","The main symptom of angina is sudden pain in your chest, neck, shoulders, jaw or arms.
The pain may:
- feel like tightness, squeezing or pressure, or like a dull ache
- make you feel sick, breathless, dizzy or sweaty
These symptoms may be called an angina attack, episode or pain.
They are often brought on by exercise, stress, emotion or cold temperatures – although sometimes there's no obvious trigger.
Angina attacks usually last less than 10 minutes and should stop after resting for a few minutes or taking your angina medicine."
Angioedema,"Angioedema is sudden swelling that is often caused by an allergic reaction. It can be very serious if your throat becomes swollen and your breathing is affected. Treatment can help keep the swelling under control.
Angioedema is where a part of the body suddenly becomes swollen.",N/A
"Overview
    
 - 
      Angiography","Angiography is a type ofX-rayused to check blood vessels.
Blood vessels do not show clearly on a normal X-ray, so a special dye called a contrast agent needs to be injected into your blood first.",N/A
"Overview
    
 - 
      Coronary angioplasty and stent insertion","A coronary angioplasty is a procedure used to widen blocked or narrowed coronary arteries (the main blood vessels supplying the heart).
The term ""angioplasty"" means using a balloon to stretch open a narrowed or blocked artery. However, most modern angioplasty procedures also involve inserting a short wire mesh tube, called a stent, into the artery during the procedure. The stent is left in place permanently to allow blood to flow more freely.",N/A
Animal and human bites,"Most animal bites are not serious, but you may need to get medical help if the bite is severe or there are signs of infection.
This page is about human bites and bites from animals, such as cats and dogs, that have broken the skin. There's a separate page aboutsnake bites.",N/A
Ankle pain,"There are lots of causes of ankle pain. You can usually ease the pain yourself. But see a GP if the pain does not improve.
If you see a GP about ankle pain, they'll usually suggest you try these things:",N/A
"Overview
    
 - 
      Ankylosing spondylitis","Ankylosing spondylitis (AS) is a long-term condition in which the spine and other areas of the body become inflamed.
It's a type of axial spondyloarthritis. In AS changes to the spine can be seen on an X-ray.","The symptoms of AS can vary, but usually involve:
- back pain and stiffness
- pain and swelling in other parts of the body – caused by inflammation of the joints (arthritis) and inflammation where a tendon joins a bone (enthesitis)
- extreme tiredness (fatigue)
These symptoms tend to develop gradually, usually over several months or years, and may come and go over time.
In some people the condition gets better with time, but for others it can get slowly worse.
Read aboutsymptoms of ankylosing spondylitis."
Lost or changed sense of smell,"A change in your sense of smell can be unpleasant and affect how things taste. But it's not usually serious and may get better in a few weeks or months.
Changes in sense of smell are most often caused by:",N/A
"Overview
    
 - 
      Antiphospholipid syndrome (APS)","Antiphospholipid syndrome (APS), sometimes known as Hughes syndrome, is a disorder of the immune system that causes an increased risk of blood clots.
This means people with APS are at greater risk of developing conditions such as:","- balance and mobility problems
- vision problems, such asdouble vision
- speech and memory problems
- a tingling sensation orpins and needlesin your arms or legs
- fatigue (extreme tiredness)
- repeatedheadachesormigraines"
Itchy bottom,"You can often do simple things yourself to ease an itchy bottom (anus). Get medical help if the itching does not stop.
gently wash and dry your anus after pooing and before bed",N/A
"Overview
    
 - 
      Aortic valve replacement","An aortic valve replacement is a type of open heart surgery used to treat problems with the heart's aortic valve.
The aortic valve controls the flow of blood out from the heart to the rest of the body.",N/A
Aphasia,"Aphasia (also called dysphasia) is a condition that makes it difficult to communicate. It can make it hard to speak, read, write and understand others. It's often caused by a stroke or brain injury. There's no cure, but people usually improve with treatment.
Aphasia causes problems with communication including speaking, understanding others, reading and writing.","Aphasia causes problems with communication including speaking, understanding others, reading and writing.
It affects people in different ways, but symptoms may include:
- not being able to say the right words , speaking very slowly or with long pauses
- finding it very difficult to speak, or speaking in very short or incomplete sentences
- repeating, mixing up or missing out words
- making up words or sounds
- not being able to understand what other people are saying, particularly if you cannot see them
- difficulty reading or writing"
